rank,account_id,tier,p,has_intent,account_type,industry,employee_count,intent_score,trial_started,trial_active_users,mql_count_90d,web_touchpoints_90d,sales_contacts_90d,snapshot_date
254,ACC-00602,D,0.04211633736574739,False,Prospect,Financial Services,25,,0,0,3,3,2,2026-03-02
255,ACC-00597,D,0.04203954397404417,False,Suspect,Retail,181,,0,0,5,1,0,2025-05-05
256,ACC-01045,D,0.04197278376367591,True,Suspect,Healthcare,61,27.6,0,0,3,0,0,2026-04-14
257,ACC-00717,D,0.041921144569072595,False,Prospect,Healthcare,69,,0,0,0,1,1,2026-03-11
258,ACC-00237,D,0.041921144569072595,False,Suspect,Software,114,,0,0,0,2,0,2026-05-10
259,ACC-00236,D,0.041921144569072595,False,Prospect,Retail,80,,0,0,0,4,0,2026-04-01
260,ACC-01193,D,0.04187422559363654,True,Former Customer,Professional Services,452,33.2,0,0,4,3,0,2026-05-06
261,ACC-00539,D,0.04187260651576102,False,Prospect,Retail,98,,0,0,4,0,2,2026-05-20
262,ACC-00900,D,0.0417254585415083,False,Suspect,Retail,154,,0,0,0,0,2,2026-04-30
263,ACC-00151,D,0.041674142888495504,False,Suspect,Financial Services,27,,0,0,1,0,1,2025-06-19
264,ACC-01092,D,0.041674142888495504,False,Prospect,Retail,38,,0,0,2,0,0,2026-01-30
265,ACC-00625,D,0.041674142888495504,False,Prospect,Software,15,,0,0,1,0,0,2026-05-31
266,ACC-00805,D,0.041674142888495504,False,Prospect,Financial Services,15,,0,0,2,0,0,2025-10-20
267,ACC-00470,D,0.041674142888495504,False,Suspect,Retail,26,,0,0,0,0,0,2026-05-05
268,ACC-00131,D,0.041674142888495504,False,Prospect,Healthcare,46,,0,0,1,0,0,2025-03-25
269,ACC-00864,D,0.041674142888495504,False,Suspect,Retail,6,,0,0,1,0,0,2026-07-29
270,ACC-01025,D,0.041674142888495504,False,Prospect,Financial Services,29,,0,0,3,0,0,2026-04-28
271,ACC-00449,D,0.04149859991687924,False,Prospect,Manufacturing,24,,0,0,1,3,0,2025-07-19
272,ACC-00697,D,0.04146825696219563,False,Former Customer,Financial Services,167,,0,0,0,3,0,2025-02-08
273,ACC-00273,D,0.04139031485025373,True,Former Customer,Professional Services,30,25.6,0,0,1,0,0,2025-04-24
274,ACC-00577,D,0.041338834009766186,False,Suspect,Professional Services,111,,0,0,0,6,1,2026-05-13
275,ACC-01428,D,0.04088057695028009,False,Prospect,Healthcare,29,,0,0,0,1,0,2026-03-17
276,ACC-00763,D,0.04088057695028009,False,Suspect,Healthcare,66,,0,0,0,4,0,2025-12-20
277,ACC-01319,D,0.04088057695028009,False,Prospect,Retail,17,,0,0,0,5,0,2025-08-15
278,ACC-01027,D,0.04088057695028009,False,Prospect,Retail,14,,0,0,1,2,0,2025-08-19
279,ACC-00018,D,0.04088057695028009,False,Prospect,Retail,22,,0,0,1,1,0,2025-01-10
280,ACC-00504,D,0.04088057695028009,False,Prospect,Software,13,,0,0,0,1,0,2024-12-18
281,ACC-00659,D,0.04088057695028009,False,Suspect,Financial Services,27,,0,0,2,1,0,2026-03-24
282,ACC-00467,D,0.04088057695028009,False,Prospect,Healthcare,19,,0,0,0,3,1,2026-03-19
283,ACC-01073,D,0.04088057695028009,False,Prospect,Healthcare,9,,0,0,1,2,0,2026-04-11
284,ACC-01383,D,0.04060192462864469,False,Former Customer,Professional Services,36,,0,0,0,1,1,2026-03-29
285,ACC-00161,D,0.04060192462864469,False,Former Customer,Professional Services,31,,0,0,0,5,1,2026-05-22
286,ACC-01282,D,0.040121218294204015,False,Prospect,Professional Services,121,,0,0,3,1,3,2026-04-20
287,ACC-00614,D,0.039889252851696824,False,Prospect,Professional Services,92,,0,0,1,5,0,2026-05-10
288,ACC-00972,D,0.03972853515385622,False,Suspect,Retail,186,,0,0,3,4,1,2026-05-31
289,ACC-00287,D,0.039653727681091884,False,Prospect,Professional Services,51,,0,0,0,0,0,2025-10-07
290,ACC-00021,D,0.039653727681091884,False,Prospect,Professional Services,28,,0,0,1,0,0,2026-04-24
291,ACC-00941,D,0.039653727681091884,False,Prospect,Professional Services,15,,0,0,1,0,1,2026-05-09
292,ACC-00669,D,0.039653727681091884,False,Suspect,Professional Services,27,,0,0,0,0,1,2026-01-13
293,ACC-00624,D,0.039653727681091884,True,Suspect,Professional Services,7,26.5,0,0,1,0,0,2025-04-28
294,ACC-01373,D,0.03963352367175378,False,Suspect,Software,29,,0,0,4,0,0,2026-01-29
295,ACC-00617,D,0.03915665610199495,True,Prospect,Retail,22,31.2,0,0,4,2,1,2025-07-20
296,ACC-00033,D,0.03894510831852599,False,Prospect,Professional Services,437,,0,0,1,5,3,2025-10-05
297,ACC-01385,D,0.03889707325698896,True,Prospect,Professional Services,44,26.2,0,0,0,1,0,2026-08-01
298,ACC-00334,D,0.03889707325698896,True,Prospect,Professional Services,49,24.9,0,0,0,4,0,2026-04-08
299,ACC-00402,D,0.038534870243063554,False,Prospect,Professional Services,243,,0,0,2,0,0,2026-03-09
300,ACC-00633,D,0.03807069756638674,True,Prospect,Professional Services,188,30.3,0,0,3,3,0,2026-05-25
